/*
/* KAMKE SET
/*

81 y(x).diff(x)+2*tan(y(x))*tan(x)=1
82 y(x).diff(x)=a*(1+tan(y(x))**2)+tan(y(x))*tan(x)
83 y(x).diff(x)=tan(x*y(x))
84 y(x).diff(x)=f(a*x+b*y(x))
85 y(x).diff(x)=x**(a-1)*y(x)**(1-b)*f(x**a/a+y(x)**b/b)
86 y(x).diff(x)=(y(x)-x*f(x**2+a*y(x)**2))/(x+a*y(x)*f(x**2+a*y(x)**2))
87 y(x).diff(x)=(y(x)*a*f(x**c*y(x))+c*x**a*y(x)**b)/(x*b*f(x**c*y(x))-x**a*y(x)**b)
88 2*y(x).diff(x)-3*y(x)**2-4*a*y(x)=b+c*exp(-2*a*x)

/***********
/*88       *
/***********

/*ode[[1]]=D[y[x],x]-(a4*x^4+a3*x^3+a2*x^2+a1*x+a0)^(-1/2)
/*ode[[2]]=D[y[x],x]+a*y[x]-c*Exp[b*x]
/*ode[[3]]=D[y[x],x]+a*y[x]-b*Sin[c*x]
/*ode[[4]]=D[y[x],x]+2*x*y[x]-x*Exp[-x^2]
/*ode[[5]]=D[y[x],x]+y[x]*Cos[x]-Exp[2*x]
/*ode[[6]]=D[y[x],x]+y[x]*Cos[x]-1/2*Sin[2*x]
/*ode[[7]]=D[y[x],x]+y[x]*Cos[x]-Exp[-Sin[x]]
/*ode[[8]]=D[y[x],x]+y[x]*Tan[x]-Sin[2*x]
/*ode[[9]]=D[y[x],x]-(Sin[Log[x]]+Cos[Log[x]]+a)*y[x]
/*ode[[10]]=D[y[x],x]+D[f[x],x]*y[x]-f[x]*D[f[x],x]
/*ode[[11]]=D[y[x],x]+f[x]*y[x]-g[x]
/*ode[[12]]=D[y[x],x]+y[x]^2-1
/*ode[[13]]=D[y[x],x]+y[x]^2-a*x-b
/*ode[[14]]=D[y[x],x]+y[x]^2+a*x^m
/*ode[[15]]=D[y[x],x]+y[x]^2-2*x^2*y[x]+x^4-2*x-1
/*ode[[16]]=D[y[x],x]+y[x]^2+(x*y[x]-1)*f[x]
/*ode[[17]]=D[y[x],x]-y[x]^2-3*y[x]+4
/*ode[[18]]=D[y[x],x]-y[x]^2-x*y[x]-x+1
/*ode[[19]]=D[y[x],x]-(y[x]+x)^2
/*ode[[20]]=D[y[x],x]-y[x]^2+(x^2+1)*y[x]-2*x
/*ode[[21]]=D[y[x],x]-y[x]^2+y[x]*Sin[x]-Cos[x]
/*ode[[22]]=D[y[x],x]-y[x]^2-y[x]*Sin[2*x]-Cos[2*x]
/*ode[[23]]=D[y[x],x]+a*y[x]^2-b
/*ode[[24]]=D[y[x],x]+a*y[x]^2-b*x^nu
/*ode[[25]]=D[y[x],x]+a*y[x]^2-b*x^(2*nu)-c*x^(nu-1)
/*ode[[26]]=D[y[x],x]-(A*y[x]-a)*(B*y[x]-b)
/*ode[[27]]=D[y[x],x]+a*y[x]*(y[x]-x)-1
/*ode[[28]]=D[y[x],x]+x*y[x]^2-x^3*y[x]-2*x
/*ode[[29]]=D[y[x],x]-x*y[x]^2-3*x*y[x]
/*ode[[30]]=D[y[x],x]+x^(-a-1)*y[x]^2-x^a
/*ode[[31]]=D[y[x],x]-a*x^n*(y[x]^2+1)
/*ode[[32]]=D[y[x],x]+y[x]^2*Sin[x]-2*Sin[x]/Cos[x]^2
/*ode[[33]]=D[y[x],x]-y[x]^2*D[f[x],x]/g[x]+D[g[x],x]/f[x]
/*ode[[34]]=D[y[x],x]+f[x]*y[x]^2+g[x]*y[x]
/*ode[[35]]=D[y[x],x]+f[x]*(y[x]^2+2*a*y[x]+b)
/*ode[[36]]=D[y[x],x]+y[x]^3+a*x*y[x]^2
/*ode[[37]]=D[y[x],x]-y[x]^3-a*Exp[x]*y[x]^2
/*ode[[38]]=D[y[x],x]-a*y[x]^3-b*x^(-3/2)
/*ode[[39]]=D[y[x],x]-a3*y[x]^3-a2*y[x]^2-a1*y[x]-a0
/*ode[[40]]=D[y[x],x]+3*a*y[x]^3+6*a*x*y[x]^2
/*ode[[41]]=D[y[x],x]+a*x*y[x]^3+b*y[x]^2
/*ode[[42]]=D[y[x],x]-x*(x+2)*y[x]^3-(x+3)*y[x]^2
/*ode[[43]]=D[y[x],x]+(3*a*x^2+4*a^2*x+b)*y[x]^3+3*x*y[x]^2
/*ode[[44]]=D[y[x],x]+2*a*x^3*y[x]^3+2*x*y[x]
/*ode[[45]]=D[y[x],x]+2*(a^2*x^3-b^2*x)*y[x]^3+3*b*y[x]^2
/*ode[[46]]=D[y[x],x]-x^a*y[x]^3+3*y[x]^2-x^(-a)*y[x]-x^(-2*a)+a*x^(-a-1)
/*ode[[47]]=D[y[x],x]-a*(x^n-x)*y[x]^3-y[x]^2
/*ode[[48]]=D[y[x],x]-(a*x^n+b*x)*y[x]^3-c*y[x]^2
/*ode[[49]]=D[y[x],x]+a*D[phi[x],x]*y[x]^3+6*a*phi[x]*y[x]^2+(2*a+1)*y[x]*D[D[phi[x],x],x]/D[phi[x],x]+2*a+2
/*ode[[50]]=D[y[x],x]-f3[x]*y[x]^3-f2[x]*y[x]^2-f1[x]*y[x]-f0[x]
/*ode[[51]]=D[y[x],x]-(y[x]-f[x])*(y[x]-g[x])*(y[x]-(a*f[x]+b*g[x])/(a+b))*h[x]-D[f[x],x]*(y[x]-g[x])/(f[x]-g[x])-D[g[x],x]*(y[x]-f[x])/(g[x]-f[x])
/*ode[[52]]=D[y[x],x]-a*y[x]^n-b*x^(n/(1-n))
/*ode[[53]]=D[y[x],x]-f[x]^(1-n)*D[g[x],x]*y[x]^n/(a*g[x]+b)^n-D[f[x],x]*y[x]/f[x]-f[x]*D[g[x],x]
/*ode[[54]]=D[y[x],x]-a^n*f[x]^(1-n)*D[g[x],x]*y[x]^n-D[f[x],x]*y[x]/f[x]-f[x]*D[g[x],x]
/*ode[[55]]=D[y[x],x]-f[x]*y[x]^n-g[x]*y[x]-h[x]
/*ode[[56]]=D[y[x],x]-f[x]*y[x]^a-g[x]*y[x]^b
/*ode[[57]]=D[y[x],x]-Abs[y[x]]^(1/2)
/*ode[[58]]=D[y[x],x]-a*y[x]^(1/2)-b*x
/*ode[[59]]=D[y[x],x]-a*(y[x]^2+1)^(1/2)-b
/*ode[[60]]=D[y[x],x]-(y[x]^2-1)^(1/2)/(x^2-1)^(1/2)
/*ode[[61]]=D[y[x],x]-(x^2-1)^(1/2)/(y[x]^2-1)^(1/2)
/*ode[[62]]=D[y[x],x]-(y[x]-x^2*(x^2-y[x]^2)^(1/2))/(x*y[x]*(x^2-y[x]^2)^(1/2)+x)
/*ode[[63]]=D[y[x],x]-(y[x]^2+1)/(Abs[y[x]+(1+y[x])^(1/2)]*(1+x)^(3/2))
/*ode[[64]]=D[y[x],x]-((a*y[x]^2+b*y[x]+c)/(a*x^2+b*x+c))^(1/2)
/*ode[[65]]=D[y[x],x]-((y[x]^3+1)/(x^3+1))^(1/2)
/*ode[[66]]=D[y[x],x]-Abs[y[x]*(1-y[x])*(1-a*y[x])]^(1/2)/Abs[x*(1-x)*(1-a*x)]^(1/2)
/*ode[[67]]=D[y[x],x]-(1-y[x]^4)^(1/2)/(1-x^4)^(1/2)
/*ode[[68]]=D[y[x],x]-((a*y[x]^4+b*y[x]^2+1)/(a*x^4+b*x^2+1))^(1/2)
/*ode[[69]]=D[y[x],x]-((b4*y[x]^4+b3*y[x]^3+b2*y[x]^2+b1*y[x]+b0)*(a4*x^4+a3*x^3+a2*x^2+a1*x+a0))^(1/2)
/*ode[[70]]=D[y[x],x]-((a4*x^4+a3*x^3+a2*x^2+a1*x+a0)/(b4*y[x]^4+b3*y[x]^3+b2*y[x]^2+b1*y[x]+b0))^(1/2)
/*ode[[71]]=D[y[x],x]-((b4*y[x]^4+b3*y[x]^3+b2*y[x]^2+b1*y[x]+b0)/(a4*x^4+a3*x^3+a2*x^2+a1*x+a0))^(1/2)
/*ode[[72]]=D[y[x],x]-R1[x,(a4*x^4+a3*x^3+a2*x^2+a1*x+a0)^(1/2)]*R2[y[x],(b4*y[x]^4+b3*y[x]^3+b2*y[x]^2+b1*y[x]+b0)^(1/2)]
/*ode[[73]]=D[y[x],x]-((a3*x^3+a2*x^2+a1*x+a0)/(a3*y[x]^3+a2*y[x]^2+a1*y[x]+a0))^(2/3)
/*ode[[74]]=D[y[x],x]-f[x]*(y[x]-g[x])*((y[x]-a)*(y[x]-b))^(1/2)
/*ode[[75]]=D[y[x],x]-Exp[x-y[x]]+Exp[x]
/*ode[[76]]=D[y[x],x]-a*Cos[y[x]]+b
/*ode[[77]]=D[y[x],x]-Cos[a*y[x]+b*x]
/*ode[[78]]=D[y[x],x]+a*Sin[alpha*y[x]+beta*x]+b
/*ode[[79]]=D[y[x],x]+f[x]*Cos[a*y[x]]+g[x]*Sin[a*y[x]]+h[x]
/*ode[[80]]=D[y[x],x]+f[x]*Sin[y[x]]+(1-D[f[x],x])*Cos[y[x]]-D[f[x],x]-1
/*ode[[81]]=D[y[x],x]+2*Tan[y[x]]*Tan[x]-1
/*ode[[82]]=D[y[x],x]-a*(1+Tan[y[x]]^2)+Tan[y[x]]*Tan[x]
/*ode[[83]]=D[y[x],x]-Tan[x*y[x]]
/*ode[[84]]=D[y[x],x]-f[a*x+b*y[x]]
/*ode[[85]]=D[y[x],x]-x^(a-1)*y[x]^(1-b)*f[x^a/a+y[x]^b/b]
/*ode[[86]]=D[y[x],x]-(y[x]-x*f[x^2+a*y[x]^2])/(x+a*y[x]*f[x^2+a*y[x]^2])
/*ode[[87]]=D[y[x],x]-(y[x]*a*f[x^c*y[x]]+c*x^a*y[x]^b)/(x*b*f[x^c*y[x]]-x^a*y[x]^b)
/*ode[[88]]=2*D[y[x],x]-3*y[x]^2-4*a*y[x]-b-c*Exp[-2*a*x]
/*ode[[89]]=x*D[y[x],x]-(a^2-x^2)^(1/2)
/*ode[[90]]=x*D[y[x],x]+y[x]-x*Sin[x]
/*ode[[91]]=x*D[y[x],x]-y[x]-x/Log[x]
/*ode[[92]]=x*D[y[x],x]-y[x]-x^2*Sin[x]
/*ode[[93]]=x*D[y[x],x]-y[x]-x*Cos[Log[Log[x]]]/Log[x]
/*ode[[94]]=x*D[y[x],x]+a*y[x]+b*x^n
/*ode[[95]]=x*D[y[x],x]+y[x]^2+x^2
/*ode[[96]]=x*D[y[x],x]-y[x]^2+1
/*ode[[97]]=x*D[y[x],x]+a*y[x]^2-y[x]+b*x^2
/*ode[[98]]=x*D[y[x],x]+a*y[x]^2-b*y[x]+c*x^(2*b)
/*ode[[99]]=x*D[y[x],x]+a*y[x]^2-b*y[x]-c*x^beta
/*ode[[100]]=x*D[y[x],x]+x*y[x]^2+a
/*ode[[101]]=x*D[y[x],x]+x*y[x]^2-y[x]
/*ode[[102]]=x*D[y[x],x]+x*y[x]^2-y[x]-a*x^3
/*ode[[103]]=x*D[y[x],x]+x*y[x]^2-(2*x^2+1)*y[x]-x^3
/*ode[[104]]=x*D[y[x],x]+a*x*y[x]^2+2*y[x]+b*x
/*ode[[105]]=x*D[y[x],x]+a*x*y[x]^2+b*y[x]+c*x+d
/*ode[[106]]=x*D[y[x],x]+x^a*y[x]^2+1/2*(a-b)*y[x]+x^b
/*ode[[107]]=x*D[y[x],x]+a*x^alpha*y[x]^2+b*y[x]-c*x^beta
/*ode[[108]]=x*D[y[x],x]-y[x]^2*Log[x]+y[x]
/*ode[[109]]=x*D[y[x],x]-y[x]*(2*y[x]*Log[x]-1)
/*ode[[110]]=x*D[y[x],x]+f[x]*(y[x]^2-x^2)
/*ode[[111]]=x*D[y[x],x]+y[x]^3+3*x*y[x]^2
/*ode[[112]]=x*D[y[x],x]-(y[x]^2+x^2)^(1/2)-y[x]
/*ode[[113]]=x*D[y[x],x]+a*(y[x]^2+x^2)^(1/2)-y[x]
/*ode[[114]]=x*D[y[x],x]-x*(y[x]^2+x^2)^(1/2)-y[x]
/*ode[[115]]=x*D[y[x],x]-x*(y[x]-x)*(y[x]^2+x^2)^(1/2)-y[x]
/*ode[[116]]=x*D[y[x],x]-x*((y[x]^2-x^2)*(y[x]^2-4*x^2))^(1/2)-y[x]
/*ode[[117]]=x*D[y[x],x]-x*Exp[y[x]/x]-y[x]-x
/*ode[[118]]=x*D[y[x],x]-y[x]*Log[y[x]]
/*ode[[119]]=x*D[y[x],x]-y[x]*(Log[x*y[x]]-1)
/*ode[[120]]=x*D[y[x],x]-y[x]*(x*Log[x^2/y[x]]+2)
/*ode[[121]]=x*D[y[x],x]+Sin[y[x]-x]
/*ode[[122]]=x*D[y[x],x]+(Sin[y[x]]-3*x^2*Cos[y[x]])*Cos[y[x]]
/*ode[[123]]=x*D[y[x],x]-x*Sin[y[x]/x]-y[x]
/*ode[[124]]=x*D[y[x],x]+x*Cos[y[x]/x]-y[x]+x
/*ode[[125]]=x*D[y[x],x]+x*Tan[y[x]/x]-y[x]
/*ode[[126]]=x*D[y[x],x]-y[x]*f[x*y[x]]
/*ode[[127]]=x*D[y[x],x]-y[x]*f[x^a*y[x]^b]
/*ode[[128]]=x*D[y[x],x]+a*y[x]-f[x]*g[x^a*y[x]]
/*ode[[129]]=(1+x)*D[y[x],x]+y[x]*(y[x]-x)
/*ode[[130]]=2*x*D[y[x],x]-y[x]-2*x^3
/*ode[[131]]=(2*x+1)*D[y[x],x]-4*Exp[-y[x]]+2
/*ode[[132]]=3*x*D[y[x],x]-3*x*Log[x]*y[x]^4-y[x]
/*ode[[133]]=x^2*D[y[x],x]+y[x]-x
/*ode[[134]]=x^2*D[y[x],x]-y[x]+x^2*Exp[x-1/x]
/*ode[[135]]=x^2*D[y[x],x]-(-1+x)*y[x]
/*ode[[136]]=x^2*D[y[x],x]+y[x]^2+x*y[x]+x^2
/*ode[[137]]=x^2*D[y[x],x]-y[x]^2-x*y[x]
/*ode[[138]]=x^2*D[y[x],x]-y[x]^2-x*y[x]-x^2
/*ode[[139]]=x^2*(D[y[x],x]+y[x]^2)+a*x^k-b*(b-1)
/*ode[[140]]=x^2*(D[y[x],x]+y[x]^2)+4*x*y[x]+2
/*ode[[141]]=x^2*(D[y[x],x]+y[x]^2)+a*x*y[x]+b
/*ode[[142]]=x^2*(D[y[x],x]-y[x]^2)-a*x^2*y[x]+a*x+2
/*ode[[143]]=x^2*(D[y[x],x]+a*y[x]^2)-b
/*ode[[144]]=x^2*(D[y[x],x]+a*y[x]^2)+b*x^alpha+c
/*ode[[145]]=x^2*D[y[x],x]+a*y[x]^3-a*x^2*y[x]^2
/*ode[[146]]=x^2*D[y[x],x]+x*y[x]^3+a*y[x]^2
/*ode[[147]]=x^2*D[y[x],x]+a*x^2*y[x]^3+b*y[x]^2
/*ode[[148]]=(x^2+1)*D[y[x],x]+x*y[x]-1
/*ode[[149]]=(x^2+1)*D[y[x],x]+x*y[x]-x*(x^2+1)
/*ode[[150]]=(x^2+1)*D[y[x],x]+2*x*y[x]-2*x^2
/*ode[[151]]=(x^2+1)*D[y[x],x]+(y[x]^2+1)*(2*x*y[x]-1)
/*ode[[152]]=(x^2+1)*D[y[x],x]+x*Sin[y[x]]*Cos[y[x]]-x*(x^2+1)*Cos[y[x]]^2
/*ode[[153]]=(x^2-1)*D[y[x],x]-x*y[x]+a
/*ode[[154]]=(x^2-1)*D[y[x],x]+2*x*y[x]-Cos[x]
/*ode[[155]]=(x^2-1)*D[y[x],x]+y[x]^2-2*x*y[x]+1
/*ode[[156]]=(x^2-1)*D[y[x],x]-y[x]*(y[x]-x)
/*ode[[157]]=(x^2-1)*D[y[x],x]+a*(y[x]^2-2*x*y[x]+1)
/*ode[[158]]=(x^2-1)*D[y[x],x]+a*x*y[x]^2+x*y[x]
/*ode[[159]]=(x^2-1)*D[y[x],x]-2*x*y[x]*Log[y[x]]
/*ode[[160]]=(x^2-4)*D[y[x],x]+(x+2)*y[x]^2-4*y[x]
/*ode[[161]]=(x^2-5*x+6)*D[y[x],x]+3*x*y[x]-8*y[x]+x^2
/*ode[[162]]=(x-a)*(x-b)*D[y[x],x]+y[x]^2+k*(y[x]+x-a)*(y[x]+x-b)
/*ode[[163]]=2*x^2*D[y[x],x]-2*y[x]^2-x*y[x]+2*a^2*x
/*ode[[164]]=2*x^2*D[y[x],x]-2*y[x]^2-3*x*y[x]+2*a^2*x
/*ode[[165]]=x*(2*x-1)*D[y[x],x]+y[x]^2-(4*x+1)*y[x]+4*x
/*ode[[166]]=2*x*(-1+x)*D[y[x],x]+(-1+x)*y[x]^2-x
/*ode[[167]]=3*x^2*D[y[x],x]-7*y[x]^2-3*x*y[x]-x^2
/*ode[[168]]=3*(x^2-4)*D[y[x],x]+y[x]^2-x*y[x]-3
/*ode[[169]]=(a*x+b)^2*D[y[x],x]+(a*x+b)*y[x]^3+c*y[x]^2
/*ode[[170]]=x^3*D[y[x],x]-y[x]^2-x^4
/*ode[[171]]=x^3*D[y[x],x]-y[x]^2-x^2*y[x]
/*ode[[172]]=x^3*D[y[x],x]-x^4*y[x]^2+x^2*y[x]+20
/*ode[[173]]=x^3*D[y[x],x]-x^6*y[x]^2-(2*x-3)*x^2*y[x]+3
/*ode[[174]]=x*(x^2+1)*D[y[x],x]+x^2*y[x]
/*ode[[175]]=x*(x^2-1)*D[y[x],x]-(2*x^2-1)*y[x]+a*x^3
/*ode[[176]]=x*(x^2-1)*D[y[x],x]+(x^2-1)*y[x]^2-x^2
/*ode[[177]]=x^2*(-1+x)*D[y[x],x]-y[x]^2-x*(x-2)*y[x]
/*ode[[178]]=2*x*(x^2-1)*D[y[x],x]+2*(x^2-1)*y[x]^2-(3*x^2-5)*y[x]+x^2-3
/*ode[[179]]=3*x*(x^2-1)*D[y[x],x]+x*y[x]^2-(x^2+1)*y[x]-3*x
/*ode[[180]]=(a*x^2+b*x+c)*(x*D[y[x],x]-y[x])-y[x]^2+x^2
/*ode[[181]]=x^4*(D[y[x],x]+y[x]^2)+a
/*ode[[182]]=x*(x^3-1)*D[y[x],x]-2*x*y[x]^2+y[x]+x^2
/*ode[[183]]=(2*x^4-x)*D[y[x],x]-2*(x^3-1)*y[x]
/*ode[[184]]=(a*x^2+b*x+c)^2*(D[y[x],x]+y[x]^2)+A
/*ode[[185]]=x^7*D[y[x],x]+2*(x^2+1)*y[x]^3+5*x^3*y[x]^2
/*ode[[186]]=x^n*D[y[x],x]+y[x]^2-(n-1)*x^(n-1)*y[x]+x^(2*n-2)
/*ode[[187]]=x^n*D[y[x],x]-a*y[x]^2-b*x^(2*n-2)
/*ode[[188]]=x^(2*n+1)*D[y[x],x]-a*y[x]^3-b*x^3*n
/*ode[[189]]=x^(m*(n-1)+n)*D[y[x],x]-a*y[x]^n-b*x^(n*(m+1))
/*ode[[190]]=(x^2-1)^(1/2)*D[y[x],x]-(y[x]^2-1)^(1/2)
/*ode[[191]]=(1-x^2)^(1/2)*D[y[x],x]-y[x]*(y[x]^2-1)^(1/2)
/*ode[[192]]=(x^2+a^2)^(1/2)*D[y[x],x]+y[x]-(x^2+a^2)^(1/2)+x
/*ode[[193]]=x*D[y[x],x]*Log[x]+y[x]-a*x*(Log[x]+1)
/*ode[[194]]=x*D[y[x],x]*Log[x]-y[x]^2*Log[x]-(2*Log[x]^2+1)*y[x]-Log[x]^3
/*ode[[195]]=Sin[x]*D[y[x],x]-y[x]^2*Sin[x]^2+(Cos[x]-3*Sin[x])*y[x]+4
/*ode[[196]]=Cos[x]*D[y[x],x]+y[x]+(1+Sin[x])*Cos[x]
/*ode[[197]]=Cos[x]*D[y[x],x]-y[x]^4-y[x]*Sin[x]
/*ode[[198]]=Sin[x]*Cos[x]*D[y[x],x]-y[x]-Sin[x]^3
/*ode[[199]]=Sin[2*x]*D[y[x],x]+Sin[2*y[x]]
/*ode[[200]]=(a*Sin[x]^2+b)*D[y[x],x]+a*y[x]*Sin[2*x]+A*x*(a*Sin[x]^2+c)
/*ode[[201]]=2*f[x]*D[y[x],x]+2*f[x]*y[x]^2-D[f[x],x]*y[x]-2*f[x]^2
/*ode[[202]]=f[x]*D[y[x],x]+g[x]*tg[y[x]]+h[x]
/*ode[[203]]=y[x]*D[y[x],x]+y[x]+x^3
/*ode[[204]]=y[x]*D[y[x],x]+a*y[x]+x
/*ode[[205]]=y[x]*D[y[x],x]+a*y[x]+1/4*(a^2-1)*x+b*x^n
